recording_id,label,delta,theta,alpha,sigma,beta,eog_ptp,emg_rms,pz_delta,pz_alpha,pz_sigma
ST7072J0-PSG.edf,Wake,0.8761,0.0739,0.0227,0.0082,0.0205,651.9,16.39,0.3569,0.2482,0.0632
ST7081J0-PSG.edf,N1,0.6703,0.1054,0.0896,0.057,0.1106,397.0,5.656,0.5111,0.1689,0.1059
ST7081J0-PSG.edf,N2,0.7666,0.092,0.0576,0.0739,0.0741,92.85,3.442,0.647,0.1032,0.1052
ST7081J0-PSG.edf,N3,0.9162,0.0462,0.0202,0.021,0.0161,123.1,3.1475,0.8426,0.0353,0.0339
ST7081J0-PSG.edf,REM,0.7103,0.1551,0.0597,0.0525,0.0778,270.5,3.9265,0.5704,0.1346,0.0908
ST7081J0-PSG.edf,Wake,0.7466,0.0586,0.0833,0.038,0.1073,727.3,8.076,0.1697,0.4619,0.1096
ST7082J0-PSG.edf,N1,0.6338,0.1304,0.1017,0.0581,0.1261,500.3,19.481,0.4603,0.2011,0.0894
ST7082J0-PSG.edf,N2,0.8528,0.0838,0.0285,0.0305,0.0308,128.5,11.078,0.7469,0.0641,0.055
ST7082J0-PSG.edf,N3,0.9432,0.038,0.0107,0.0098,0.0088,127.1,10.971,0.8883,0.0217,0.0165
ST7082J0-PSG.edf,REM,0.7731,0.13,0.0465,0.0311,0.0488,580.8,14.175,0.6051,0.126,0.0704
ST7082J0-PSG.edf,Wake,0.5562,0.1012,0.1571,0.0722,0.1406,561.6,20.248,0.1672,0.468,0.109
ST7091J0-PSG.edf,N1,0.6408,0.1422,0.0895,0.0451,0.0924,232.2,9.148,0.4903,0.1722,0.084
ST7091J0-PSG.edf,N2,0.7707,0.091,0.06,0.0696,0.0721,87.15,5.2625,0.616,0.1053,0.1131
ST7091J0-PSG.edf,N3,0.914,0.0449,0.025,0.0249,0.0186,87.0,3.0115,0.8445,0.0397,0.036
ST7091J0-PSG.edf,REM,0.6136,0.2046,0.0702,0.04,0.0874,330.7,4.3785,0.5308,0.1426,0.0855
ST7091J0-PSG.edf,Wake,0.5938,0.1162,0.1043,0.0489,0.1108,416.6,21.216,0.4442,0.2471,0.0835
ST7092J0-PSG.edf,N1,0.7155,0.1418,0.0678,0.0317,0.0662,322.7,11.46,0.5334,0.1594,0.0706
ST7092J0-PSG.edf,N2,0.7954,0.0934,0.048,0.0511,0.0562,123.8,8.023,0.6594,0.0864,0.0825
ST7092J0-PSG.edf,N3,0.9154,0.0492,0.0232,0.019,0.0168,93.25,5.8745,0.8369,0.0377,0.0288
ST7092J0-PSG.edf,REM,0.6472,0.187,0.07,0.0386,0.0798,395.35,6.116,0.606,0.1169,0.0547
ST7092J0-PSG.edf,Wake,0.8724,0.0534,0.0299,0.0168,0.0374,665.25,39.321,0.4026,0.2861,0.089
ST7101J0-PSG.edf,N1,0.6276,0.193,0.0663,0.0404,0.0942,650.65,5.3795,0.646,0.0698,0.0407
ST7101J0-PSG.edf,N2,0.7384,0.1395,0.0647,0.0686,0.0571,236.2,3.753,0.7582,0.0601,0.0627
ST7101J0-PSG.edf,N3,0.8915,0.0675,0.0264,0.0171,0.0136,178.4,3.887,0.9123,0.021,0.0135
ST7101J0-PSG.edf,OTHER,0.7048,0.087,0.0685,0.0417,0.1209,788.9,19.094,0.8749,0.0392,0.0277
ST7101J0-PSG.edf,REM,0.6886,0.218,0.0506,0.0229,0.0387,542.0,2.466,0.7436,0.0536,0.0196
ST7101J0-PSG.edf,Wake,0.7756,0.098,0.0444,0.024,0.0721,611.2,7.707,0.2284,0.4598,0.0699
ST7102J0-PSG.edf,N1,0.6113,0.1975,0.064,0.044,0.0993,744.0,4.6635,0.6592,0.0815,0.0485
ST7102J0-PSG.edf,N2,0.6991,0.1023,0.0856,0.1092,0.088,91.75,2.9835,0.7278,0.0804,0.0958
ST7102J0-PSG.edf,N3,0.9294,0.0416,0.0199,0.0149,0.0104,135.5,3.5135,0.9466,0.0124,0.008
ST7102J0-PSG.edf,OTHER,0.865,0.0272,0.0253,0.0261,0.076,1574.8,36.8105,0.9886,0.0026,0.0015
ST7102J0-PSG.edf,REM,0.7253,0.1386,0.0478,0.0358,0.0625,339.9,2.088,0.7288,0.0656,0.0403
ST7102J0-PSG.edf,Wake,0.8314,0.0749,0.0253,0.0158,0.0649,842.0,5.26,0.2363,0.4466,0.0544
ST7111J0-PSG.edf,N1,0.7973,0.0647,0.048,0.041,0.0714,625.5,8.07,0.6511,0.0691,0.0404
ST7111J0-PSG.edf,N2,0.7016,0.095,0.0644,0.1237,0.1194,109.5,5.102,0.6256,0.0818,0.1178
ST7111J0-PSG.edf,N3,0.9711,0.0162,0.0074,0.0072,0.005,233.3,3.571,0.96,0.0092,0.0076
ST7111J0-PSG.edf,OTHER,0.6824,0.1021,0.0633,0.1448,0.1349,143.95,5.056,0.6523,0.0744,0.1385
ST7111J0-PSG.edf,REM,0.7707,0.1241,0.0379,0.0255,0.0508,331.1,5.167,0.7679,0.0461,0.0255
ST7111J0-PSG.edf,Wake,0.8615,0.0758,0.0306,0.0164,0.0425,1238.2,15.247,0.5022,0.1227,0.0877
ST7112J0-PSG.edf,N1,0.7027,0.1177,0.0747,0.0559,0.1243,656.3,8.219,0.5983,0.1112,0.0577
ST7112J0-PSG.edf,N2,0.7301,0.1027,0.0604,0.0993,0.092,143.0,4.2055,0.6322,0.0864,0.1068
ST7112J0-PSG.edf,N3,0.9577,0.0268,0.0089,0.0083,0.0068,241.0,3.468,0.9474,0.0114,0.009
ST7112J0-PSG.edf,OTHER,0.7806,0.0794,0.0456,0.0368,0.0758,953.15,23.8575,0.9712,0.01,0.0052
ST7112J0-PSG.edf,REM,0.7634,0.1398,0.0403,0.0227,0.048,513.8,3.551,0.7235,0.0587,0.0243
ST7112J0-PSG.edf,Wake,0.877,0.0782,0.0235,0.0102,0.0316,1379.6,13.866,0.4393,0.1474,0.0785
ST7121J0-PSG.edf,N1,0.7062,0.1248,0.0672,0.0597,0.0888,636.85,12.066,0.6224,0.1116,0.061
ST7121J0-PSG.edf,N2,0.749,0.0979,0.0928,0.0944,0.0475,200.85,5.168,0.6986,0.1006,0.0955
ST7121J0-PSG.edf,N3,0.9208,0.0446,0.025,0.0207,0.0089,183.5,5.993,0.9018,0.026,0.019
ST7121J0-PSG.edf,OTHER,0.8574,0.0526,0.0346,0.0318,0.0684,932.4,49.493,0.8682,0.0361,0.0271
ST7121J0-PSG.edf,REM,0.698,0.1667,0.0635,0.0349,0.0458,407.6,5.09,0.6187,0.1223,0.0527
ST7121J0-PSG.edf,Wake,0.8212,0.0856,0.0362,0.027,0.0578,734.3,12.7785,0.4444,0.164,0.132
ST7122J0-PSG.edf,N1,0.7073,0.1268,0.057,0.0488,0.0988,597.3,10.086,0.6172,0.1059,0.0646
ST7122J0-PSG.edf,N2,0.6771,0.0953,0.1487,0.1489,0.0538,99.4,4.985,0.6537,0.1441,0.1376
ST7122J0-PSG.edf,N3,0.9312,0.0335,0.0292,0.0222,0.0059,142.65,5.54,0.9476,0.0147,0.0116
ST7122J0-PSG.edf,OTHER,0.9192,0.0241,0.0181,0.0168,0.0377,870.0,50.263,0.8956,0.0278,0.0237
ST7122J0-PSG.edf,REM,0.7212,0.1483,0.0485,0.0336,0.057,506.85,5.772,0.6284,0.1003,0.0614
ST7122J0-PSG.edf,Wake,0.8506,0.0633,0.0282,0.0204,0.0463,917.75,9.5405,0.5003,0.2222,0.0822
ST7131J0-PSG.edf,N1,0.7122,0.0908,0.0482,0.0373,0.0849,296.45,14.556,0.6596,0.0747,0.0388
ST7131J0-PSG.edf,N2,0.85,0.073,0.0438,0.0416,0.0222,83.5,4.2075,0.802,0.0521,0.0399
ST7131J0-PSG.edf,N3,0.9561,0.0273,0.013,0.0079,0.0031,141.0,3.579,0.953,0.0086,0.0046
ST7131J0-PSG.edf,REM,0.7254,0.1816,0.0461,0.0248,0.0452,245.2,4.194,0.5573,0.1072,0.0414
ST7131J0-PSG.edf,Wake,0.9046,0.0653,0.0161,0.0066,0.0151,408.35,21.4015,0.4198,0.216,0.0349
ST7132J0-PSG.edf,N1,0.8016,0.0782,0.039,0.0268,0.045,512.4,8.015,0.702,0.0557,0.0328
ST7132J0-PSG.edf,N2,0.8957,0.0642,0.0241,0.0214,0.0146,134.2,5.2335,0.8102,0.0404,0.025
ST7132J0-PSG.edf,N3,0.9554,0.0358,0.007,0.0037,0.0022,168.1,4.369,0.9522,0.0062,0.0029
ST7132J0-PSG.edf,REM,0.7628,0.1497,0.0442,0.0205,0.0354,369.75,5.94,0.5901,0.1001,0.0349
ST7132J0-PSG.edf,Wake,0.8726,0.0678,0.0217,0.0111,0.0272,519.85,11.0025,0.3588,0.2561,0.0536
ST7141J0-PSG.edf,N1,0.7421,0.13,0.0485,0.0367,0.0823,391.7,8.1355,0.5943,0.1079,0.0543
ST7141J0-PSG.edf,N2,0.8076,0.0821,0.0591,0.0566,0.0424,124.15,4.837,0.7526,0.0846,0.0582
ST7141J0-PSG.edf,N3,0.9597,0.0237,0.01,0.0087,0.0063,154.2,4.01,0.943,0.0136,0.0089
ST7141J0-PSG.edf,OTHER,0.7762,0.0764,0.054,0.0565,0.0434,400.65,8.9345,0.729,0.0931,0.0532
ST7141J0-PSG.edf,REM,0.7514,0.1594,0.0396,0.0226,0.0395,347.95,3.322,0.7164,0.0662,0.0335
ST7141J0-PSG.edf,Wake,0.9093,0.0408,0.0217,0.014,0.0303,975.6,21.99,0.5304,0.1195,0.0839
ST7142J0-PSG.edf,N1,0.6683,0.1272,0.0643,0.0561,0.1272,359.6,34.011,0.5617,0.1059,0.068
ST7142J0-PSG.edf,N2,0.7224,0.0872,0.0954,0.113,0.0622,70.7,3.345,0.6913,0.1188,0.1024
ST7142J0-PSG.edf,N3,0.9642,0.0196,0.0103,0.0096,0.0071,131.8,3.037,0.9626,0.0106,0.0069
ST7142J0-PSG.edf,OTHER,0.7391,0.1105,0.0483,0.0357,0.0538,224.5,3.124,0.764,0.0622,0.0345
ST7142J0-PSG.edf,REM,0.7304,0.1339,0.0527,0.0395,0.0541,146.9,2.369,0.7203,0.0714,0.042
ST7142J0-PSG.edf,Wake,0.8164,0.0635,0.0478,0.0259,0.0629,761.4,50.352,0.6025,0.1599,0.0807
ST7151J0-PSG.edf,N1,0.7695,0.0635,0.0176,0.0136,0.0122,123.05,4.201,0.5142,0.0409,0.0266
ST7151J0-PSG.edf,N2,0.8105,0.0792,0.0262,0.0242,0.0293,161.35,3.24,0.6266,0.065,0.0388
ST7151J0-PSG.edf,N3,0.6857,0.0476,0.0111,0.0079,0.0071,106.6,4.578,0.4566,0.032,0.0207
ST7151J0-PSG.edf,REM,0.7973,0.1121,0.0391,0.031,0.0406,284.2,2.598,0.6092,0.0885,0.0405
ST7151J0-PSG.edf,Wake,0.0,0.0,0.0,0.0,0.0,0.0,659.037,0.0,0.0,0.0
ST7152J0-PSG.edf,N1,0.598,0.113,0.086,0.0701,0.1822,373.2,6.039,0.4717,0.1775,0.0643
ST7152J0-PSG.edf,N2,0.7731,0.1044,0.0499,0.0661,0.065,80.2,2.699,0.6062,0.0778,0.0687
ST7152J0-PSG.edf,N3,0.9191,0.0511,0.0196,0.013,0.0105,137.3,2.426,0.8191,0.0348,0.0248
ST7152J0-PSG.edf,REM,0.7397,0.1454,0.0481,0.0354,0.057,505.6,2.975,0.5682,0.111,0.0425
ST7152J0-PSG.edf,Wake,0.7579,0.0736,0.0381,0.0334,0.0808,368.05,18.8565,0.4432,0.1456,0.0786
ST7161J0-PSG.edf,N1,0.8178,0.0821,0.0496,0.0312,0.0484,149.45,4.6195,0.6667,0.0751,0.0555
ST7161J0-PSG.edf,N2,0.7648,0.106,0.0655,0.0505,0.0586,116.5,4.303,0.6243,0.0903,0.0627
ST7161J0-PSG.edf,N3,0.8742,0.0606,0.0424,0.0268,0.0166,101.4,2.7675,0.7885,0.0602,0.0376
ST7161J0-PSG.edf,REM,0.6919,0.1512,0.0685,0.05,0.0785,253.4,3.3615,0.5518,0.0977,0.0612
ST7161J0-PSG.edf,Wake,0.827,0.0729,0.0437,0.0335,0.0508,122.7,5.6125,0.6242,0.0842,0.0668
ST7162J0-PSG.edf,N1,0.4942,0.1672,0.1064,0.0854,0.1706,271.0,5.6575,0.2242,0.137,0.1036
ST7162J0-PSG.edf,N2,0.7976,0.1066,0.0512,0.0369,0.0417,155.65,4.828,0.6681,0.0759,0.0436
ST7162J0-PSG.edf,N3,0.9202,0.0494,0.0212,0.0103,0.0085,177.25,7.288,0.8452,0.0331,0.0154
ST7162J0-PSG.edf,REM,0.7708,0.1182,0.0451,0.0344,0.0497,520.6,2.736,0.5107,0.1057,0.0559
ST7162J0-PSG.edf,Wake,0.7138,0.1014,0.0584,0.0502,0.1181,276.5,8.456,0.259,0.1365,0.1338
ST7171J0-PSG.edf,N1,0.8121,0.0904,0.0479,0.0262,0.039,293.9,4.106,0.6744,0.0872,0.04
ST7171J0-PSG.edf,N2,0.8528,0.0893,0.0345,0.0208,0.0217,105.5,3.256,0.7796,0.0545,0.0286
ST7171J0-PSG.edf,N3,0.9483,0.0354,0.0109,0.0052,0.0049,114.25,3.278,0.902,0.0239,0.0105
ST7171J0-PSG.edf,REM,0.6702,0.1811,0.0724,0.0318,0.0749,362.9,3.092,0.6827,0.0724,0.0327
ST7171J0-PSG.edf,Wake,0.7547,0.0705,0.053,0.034,0.1174,395.5,7.283,0.2042,0.2599,0.0958
ST7172J0-PSG.edf,N1,0.7714,0.0884,0.0527,0.0379,0.0758,189.15,6.8105,0.6522,0.0909,0.0576
ST7172J0-PSG.edf,N2,0.8222,0.0875,0.0442,0.037,0.0428,84.4,5.1655,0.7483,0.0642,0.044
ST7172J0-PSG.edf,N3,0.9516,0.028,0.0129,0.0081,0.0061,105.5,4.901,0.915,0.0233,0.0125
ST7172J0-PSG.edf,REM,0.6845,0.1484,0.0513,0.031,0.0966,188.95,5.047,0.6982,0.0659,0.0398
ST7172J0-PSG.edf,Wake,0.7211,0.0833,0.0593,0.0433,0.119,315.7,10.003,0.2354,0.2131,0.1083
ST7181J0-PSG.edf,N1,0.3039,0.0582,0.0979,0.0716,0.5154,194.8,5.897,0.1498,0.3167,0.1295
ST7181J0-PSG.edf,N2,0.6671,0.1166,0.1025,0.0934,0.0937,86.4,3.258,0.5864,0.1025,0.0892
ST7181J0-PSG.edf,N3,0.7433,0.1144,0.1011,0.0596,0.0462,94.9,2.645,0.6357,0.0989,0.0808
ST7181J0-PSG.edf,REM,0.4316,0.1097,0.0684,0.0729,0.3892,115.0,3.241,0.5212,0.1033,0.0716
ST7181J0-PSG.edf,Wake,0.4657,0.0518,0.0758,0.0598,0.3576,361.65,8.911,0.2008,0.2838,0.118
ST7182J0-PSG.edf,N1,0.5722,0.1443,0.0723,0.0543,0.1689,163.7,5.13,0.6,0.0939,0.0515
ST7182J0-PSG.edf,N2,0.6648,0.1129,0.0701,0.0546,0.0799,115.0,4.955,0.5916,0.0903,0.0582
ST7182J0-PSG.edf,N3,0.7028,0.1251,0.0702,0.0638,0.0751,112.25,4.0325,0.5831,0.0935,0.0659
ST7182J0-PSG.edf,REM,0.688,0.1299,0.0762,0.0604,0.0722,102.5,4.329,0.6354,0.0826,0.0528
ST7182J0-PSG.edf,Wake,0.5316,0.1021,0.0494,0.0339,0.0892,123.1,6.1875,0.5152,0.0846,0.0418
ST7191J0-PSG.edf,N1,0.6761,0.1012,0.0711,0.0448,0.0528,224.1,9.006,0.6171,0.1024,0.0481
ST7191J0-PSG.edf,N2,0.6708,0.1249,0.0713,0.0438,0.0557,207.7,7.656,0.6076,0.1078,0.0552
ST7191J0-PSG.edf,N3,0.7866,0.0886,0.0542,0.0456,0.045,295.6,5.835,0.6766,0.0926,0.0555
ST7191J0-PSG.edf,REM,0.7948,0.0804,0.0636,0.0495,0.0472,177.25,8.121,0.7212,0.0904,0.0586
ST7191J0-PSG.edf,Wake,0.2956,0.015,0.0059,0.0026,0.0041,54.6,965.53,0.0857,0.0067,0.0042
ST7192J0-PSG.edf,N1,0.4991,0.1739,0.1381,0.0586,0.1048,785.2,7.991,0.465,0.2073,0.0511
ST7192J0-PSG.edf,N2,0.7486,0.1253,0.0732,0.0538,0.0502,168.8,2.933,0.6713,0.0916,0.0545
ST7192J0-PSG.edf,N3,0.9392,0.0458,0.0113,0.006,0.0046,233.3,2.6135,0.9098,0.0158,0.0066
ST7192J0-PSG.edf,REM,0.6899,0.1942,0.0658,0.0272,0.0376,718.0,2.364,0.6015,0.118,0.0373
ST7192J0-PSG.edf,Wake,0.8134,0.0868,0.0467,0.0258,0.0458,1013.7,8.878,0.4052,0.2748,0.0647
ST7201J0-PSG.edf,N1,0.7543,0.0993,0.0554,0.0341,0.0548,399.9,7.531,0.5956,0.1191,0.0714
ST7201J0-PSG.edf,N2,0.7902,0.0963,0.0499,0.0393,0.0485,160.6,4.4745,0.6936,0.0801,0.0624
ST7201J0-PSG.edf,N3,0.8882,0.057,0.0259,0.0227,0.0272,215.5,4.675,0.7492,0.0525,0.0442
ST7201J0-PSG.edf,OTHER,0.7745,0.1465,0.056,0.0431,0.0363,196.3,4.344,0.6916,0.0877,0.0498
ST7201J0-PSG.edf,REM,0.8094,0.0922,0.0502,0.0443,0.041,134.95,5.802,0.7488,0.0702,0.0612
ST7201J0-PSG.edf,Wake,0.8166,0.0983,0.0473,0.0371,0.049,154.6,4.177,0.6182,0.1163,0.077
ST7202J0-PSG.edf,N1,0.6821,0.0912,0.0754,0.0677,0.1159,214.8,13.731,0.5504,0.144,0.1018
ST7202J0-PSG.edf,N2,0.6962,0.0839,0.0678,0.0835,0.0934,112.1,8.744,0.6381,0.0933,0.1041
ST7202J0-PSG.edf,N3,0.8309,0.052,0.0683,0.0778,0.0456,120.3,5.629,0.8186,0.0596,0.0716
ST7202J0-PSG.edf,OTHER,0.6127,0.2293,0.0668,0.0311,0.095,962.45,14.445,0.5656,0.1349,0.0535
ST7202J0-PSG.edf,REM,0.6958,0.1161,0.0588,0.0451,0.0816,325.95,13.4395,0.6067,0.1036,0.0781
ST7202J0-PSG.edf,Wake,0.6739,0.1028,0.0761,0.0604,0.0988,106.6,10.839,0.5966,0.1102,0.0905
ST7211J0-PSG.edf,N1,0.4457,0.0942,0.1181,0.1222,0.2804,451.4,4.149,0.3918,0.213,0.1056
ST7211J0-PSG.edf,N2,0.5732,0.1014,0.1018,0.1858,0.1918,156.4,3.558,0.5536,0.0938,0.1781
ST7211J0-PSG.edf,N3,0.8453,0.0484,0.0519,0.0744,0.0483,151.3,3.978,0.8545,0.0346,0.0662
ST7211J0-PSG.edf,REM,0.5395,0.15,0.0758,0.0579,0.2084,524.25,3.003,0.4556,0.1324,0.072
ST7211J0-PSG.edf,Wake,0.6842,0.0568,0.0829,0.0471,0.1668,536.7,9.6905,0.2562,0.3141,0.1124
ST7212J0-PSG.edf,N1,0.5735,0.1488,0.115,0.0846,0.1603,786.3,4.405,0.4338,0.2049,0.0868
ST7212J0-PSG.edf,N2,0.6946,0.1198,0.0821,0.0985,0.0989,388.2,4.248,0.6382,0.0871,0.0989
ST7212J0-PSG.edf,N3,0.9108,0.0428,0.026,0.0262,0.0177,232.2,6.6795,0.8905,0.0236,0.0304
ST7212J0-PSG.edf,REM,0.5692,0.1571,0.1101,0.065,0.1298,826.4,5.956,0.4578,0.1758,0.0727
ST7212J0-PSG.edf,Wake,0.7816,0.0566,0.0565,0.0377,0.0893,872.4,22.333,0.4029,0.2878,0.0822
ST7221J0-PSG.edf,N1,0.6239,0.1929,0.1065,0.0544,0.0722,258.2,4.084,0.4887,0.1687,0.0795
ST7221J0-PSG.edf,N2,0.7654,0.1534,0.0562,0.031,0.0279,88.8,2.9155,0.6841,0.0818,0.0463
ST7221J0-PSG.edf,N3,0.9238,0.0572,0.014,0.0083,0.0066,94.15,2.277,0.8978,0.015,0.0084
ST7221J0-PSG.edf,REM,0.5687,0.2267,0.1333,0.0506,0.0593,446.8,1.947,0.4623,0.2096,0.0839
ST7221J0-PSG.edf,Wake,0.576,0.1384,0.1026,0.0527,0.1216,493.0,14.577,0.3351,0.218,0.1158
ST7222J0-PSG.edf,N1,0.6002,0.1823,0.1221,0.0719,0.092,216.8,28.679,0.4926,0.1781,0.0952
ST7222J0-PSG.edf,N2,0.7341,0.144,0.0693,0.0465,0.0438,70.3,8.403,0.6476,0.1006,0.0667
ST7222J0-PSG.edf,REM,0.5612,0.2084,0.1318,0.0599,0.0796,406.9,15.701,0.4736,0.207,0.098
ST7222J0-PSG.edf,Wake,0.4466,0.1451,0.2062,0.0799,0.1512,306.2,135.958,0.2381,0.3572,0.1452
ST7241J0-PSG.edf,N1,0.85,0.0981,0.0272,0.0215,0.0237,454.85,7.051,0.7227,0.0656,0.0356
ST7241J0-PSG.edf,N2,0.832,0.1142,0.0293,0.0182,0.0204,153.25,7.139,0.7276,0.0566,0.0306
ST7241J0-PSG.edf,N3,0.9178,0.0647,0.0113,0.008,0.0065,212.4,4.944,0.857,0.0254,0.0145
ST7241J0-PSG.edf,OTHER,0.7319,0.1645,0.0351,0.0219,0.0191,1117.0,5.761,0.7466,0.0568,0.0297
ST7241J0-PSG.edf,REM,0.8286,0.1138,0.0288,0.017,0.0207,169.2,7.935,0.7067,0.0595,0.0294
ST7241J0-PSG.edf,Wake,0.8428,0.102,0.0302,0.0187,0.0235,425.6,10.8,0.6673,0.0661,0.0309
ST7242J0-PSG.edf,N1,0.8858,0.0754,0.0136,0.008,0.0164,149.25,5.132,0.8078,0.0376,0.0262
ST7242J0-PSG.edf,N2,0.8229,0.1062,0.0332,0.0241,0.0301,131.8,4.106,0.7269,0.0599,0.0364
ST7242J0-PSG.edf,N3,0.8961,0.0699,0.0221,0.0174,0.0156,136.6,8.951,0.8122,0.0404,0.0268
ST7242J0-PSG.edf,OTHER,0.7391,0.1626,0.0506,0.0409,0.0494,91.9,2.754,0.6381,0.0743,0.0582
ST7242J0-PSG.edf,REM,0.8604,0.0884,0.0271,0.018,0.0223,159.65,4.6065,0.747,0.06,0.0319
ST7242J0-PSG.edf,Wake,0.8111,0.1105,0.0273,0.0229,0.0272,123.1,4.786,0.8225,0.0332,0.026
